sample	all	nonSym	cladeA	cladeB	cladeC	cladeD
s100_S137	425867	415718	0	0	10122	27
s101_S138	505374	461035	0	0	44241	98
s102_S139	620192	574412	0	0	45659	121
s104_S140	437850	399164	0	0	38563	123
s105_S141	429970	393650	0	0	36210	110
s106_S142	758427	694478	0	0	63801	148
s107_S143	473037	433137	0	0	39808	92
s108_S144	465348	395212	0	0	69986	150
s10_S48	482691	444220	0	0	38377	94
s110_S145	398140	359187	0	0	38877	76
s111_S146	414685	361627	0	0	52965	93
s112_S147	431338	421163	0	0	10138	37
s113_S148	457675	434316	0	0	23291	68
s114_S149	407923	365558	0	0	42299	66
s115_S150	468306	454811	0	0	13451	44
s116_S151	544572	529198	0	0	15339	35
s117_S152	545602	537846	0	0	7727	29
s118_S153	407346	394180	0	0	13123	43
s119_S154	489370	453201	0	0	36087	82
s11_S49	423068	381224	0	0	41724	120
s120_S155	436544	413226	0	0	23268	50
s121_S156	510431	497834	0	0	12544	53
s122_S157	834807	769004	0	0	65586	217
s123_S158	891333	863216	0	0	28044	73
s125_S159	369987	333755	0	0	36169	63
s126_S160	468979	400118	0	0	68746	115
s127_S161	383179	355278	0	0	27811	90
s128_S162	421465	395336	0	0	26083	46
s129_S163	433892	412126	0	0	21714	52
s12_S50	421071	362312	0	0	58602	157
s130_S164	497450	447956	0	0	49397	97
s131_S165	421481	409070	0	0	12385	26
s132_S166	483302	453245	0	0	29969	88
s133_S167	352210	289458	0	0	62594	158
s134_S168	350843	275925	0	0	74737	181
s135_S169	352399	286179	0	0	66075	145
s136_S170	311448	288627	0	0	22756	65
s137_S171	456211	441459	0	0	14713	39
s138_S172	500625	492240	0	0	8358	27
s139_S173	465674	393168	0	0	72374	132
s13_S51	537228	482008	0	0	55052	168
s140_S174	421663	345265	0	0	76239	159
s141_S175	454734	432611	0	0	22084	39
s142_S176	520030	482560	0	0	37405	65
s143_S177	561287	540473	0	0	20757	57
s144_S178	568701	509842	0	0	58749	110
s145_S179	620797	545121	0	0	75525	151
s146_S180	554267	483450	0	0	70703	114
s147_S181	577018	531768	0	0	45165	85
s148_S182	565292	540947	0	0	24287	58
s149_S183	384449	364848	0	0	19563	38
s14_S52	491016	456591	0	0	34281	144
s150_S184	418788	377831	0	0	40890	67
s151_S185	452949	407553	0	0	45291	105
s152_S186	606827	563059	0	0	43635	133
s153_S187	615375	577643	0	0	37651	81
s154_S188	559537	518612	0	0	40826	99
s155_S189	504495	470605	0	0	33774	116
s156_S190	564616	537494	0	0	27025	97
s157_S191	445954	419113	0	0	26793	48
s158_S192	377822	349282	0	0	28497	43
s159_S193	422510	416060	0	0	6435	15
s15_S53	464093	390154	0	0	73729	210
s160_S194	668182	578409	0	0	89574	199
s161_S195	551306	495484	0	0	55688	134
s162_S196	531578	441405	0	0	90033	140
s163_S197	613148	521938	0	0	91076	134
s164_S198	478739	401822	0	0	76753	164
s165_S199	536028	475917	0	0	59990	121
s166_S200	568151	545859	0	0	22240	52
s167_S201	543498	517910	0	0	25535	53
s168_S202	596190	506079	0	0	90011	100
s169_S203	655989	596054	0	0	59859	76
s16_S54	606924	592790	0	0	14076	58
s170_S204	616479	567911	0	0	48483	85
s171_S205	738212	689547	0	0	48573	92
s172_S206	526438	461384	0	0	64939	115
s173_S207	439637	399243	0	0	40307	87
s176_S208	566110	543816	0	0	22212	82
s177_S209	438065	413865	0	0	24124	76
s17_S55	594303	560275	0	0	33905	123
s181_S210	506289	422045	0	0	84050	194
s182_S211	517888	484821	0	0	32990	77
s183_S212	455743	402817	0	0	52805	121
s18_S56	553347	521794	0	0	31415	138
s190_S213	463145	451417	0	0	11690	38
s191_S214	485179	461171	0	0	23917	91
s192_S215	332686	311421	0	0	21211	54
s19_S57	491294	434670	0	0	56436	188
s1_S39	504308	479732	0	0	24472	104
s20_S58	473367	375025	0	0	98061	281
s21_S59	484625	434760	0	0	49748	117
s22_S60	558340	533352	0	0	24895	93
s23_S61	607327	581540	0	0	25697	90
s24_S62	671817	615328	0	0	56321	168
s25_S63	566726	524504	0	0	42071	151
s26_S64	491484	481513	0	0	9939	32
s27_S65	468913	457124	0	0	11754	35
s28_S66	422364	383042	0	0	39233	89
s29_S67	488673	437696	0	0	50829	148
s2_S40	445951	417729	0	0	28133	89
s30_S68	667470	644879	0	0	22518	73
s31_S69	556917	521943	0	0	34829	145
s32_S70	671782	638785	0	0	32897	100
s33_S71	466884	465566	0	0	1306	12
s34_S72	500872	498082	0	0	2778	12
s35_S73	400554	398509	0	0	2031	14
s37_S74	470999	456610	0	0	14335	54
s38_S75	522645	484555	0	0	38008	82
s39_S76	225812	201654	0	0	24076	82
s3_S41	422092	397811	0	0	24186	95
s40_S77	606841	571589	0	0	35157	95
s41_S78	646002	602686	0	0	43235	81
s42_S79	461668	427913	0	0	33656	99
s43_S80	488005	477399	0	0	10572	34
s44_S81	349258	341936	0	0	7305	17
s45_S82	471930	469205	0	0	2715	10
s46_S83	642825	590910	0	0	51789	126
s47_S84	543768	491376	0	0	52195	197
s48_S85	493810	456130	0	0	37544	136
s49_S86	573699	561611	0	0	12059	29
s4_S42	479655	465087	0	0	14523	45
s50_S87	571614	562696	0	0	8891	27
s51_S88	565902	562670	0	0	3220	12
s52_S89	588597	587328	0	0	1265	4
s53_S90	690556	689858	0	0	692	6
s54_S91	564951	564235	0	0	713	3
s55_S92	592940	530428	0	0	62380	132
s56_S93	597552	508059	0	0	89278	215
s57_S94	569557	519556	0	0	49863	138
s58_S95	475120	453175	0	0	21889	56
s59_S96	481303	442919	0	0	38296	88
s5_S43	489087	453974	0	0	35005	108
s60_S97	436899	405362	0	0	31427	110
s61_S98	546596	534362	0	0	12198	36
s62_S99	607923	579407	0	0	28440	76
s63_S100	556140	518306	0	0	37737	97
s64_S101	555452	509426	0	0	45927	99
s65_S102	581406	547644	0	0	33696	66
s66_S103	409188	406901	0	0	2272	15
s67_S104	483688	477762	0	0	5891	35
s68_S105	493004	463307	0	0	29622	75
s69_S106	459637	444634	0	0	14974	29
s6_S44	466876	403769	0	0	62957	150
s70_S107	535423	498110	0	0	37193	120
s71_S108	667449	654067	0	0	13338	44
s72_S109	494994	467888	0	0	27017	89
s73_S110	548797	536455	0	0	12299	43
s74_S111	440640	405842	0	0	34713	85
s75_S112	437490	405254	0	0	32152	84
s76_S113	468706	429127	0	0	39463	116
s77_S114	437019	382812	0	0	54072	135
s78_S115	458427	410404	0	0	47897	126
s79_S116	549837	544982	0	0	4820	35
s7_S45	519442	507993	0	0	11396	53
s80_S117	533052	531047	0	0	1987	18
s81_S118	565303	559984	0	0	5297	22
s82_S119	521834	510852	0	0	10929	53
s83_S120	474994	454184	0	0	20741	69
s84_S121	483576	455277	0	0	28185	114
s85_S122	499446	490527	0	0	8863	56
s86_S123	444367	436060	0	0	8255	52
s87_S124	431223	412356	0	0	18783	84
s88_S125	518576	513137	0	0	5411	28
s89_S126	489075	473036	0	0	15970	69
s8_S46	523244	484592	0	0	38517	135
s90_S127	450592	444183	0	0	6377	32
s91_S128	479144	445595	0	0	33468	81
s92_S129	465421	428633	0	0	36700	88
s93_S130	494180	458052	0	0	36029	99
s94_S131	388357	358208	0	0	30079	70
s95_S132	436718	416200	0	0	20464	54
s96_S133	562504	541010	0	0	21443	51
s97_S134	495218	474167	0	0	20997	54
s98_S135	372389	355212	0	0	17128	49
s99_S136	382017	359196	0	0	22764	57
s9_S47	507564	466631	0	0	40781	152
